Sites,Distribution,Rep,Combat,SWD
S2,UNEQUAL,8,0.2793952936313523,0.27925256051230596
S2,UNEQUAL,9,0.3580309053648833,0.3578880295547273
S2,UNEQUAL,10,1.0,1.0
S2,UNEQUAL,11,0.9367737931549285,0.937309077662721
S2,UNEQUAL,12,1.0,1.0
S2,UNEQUAL,13,0.23636019682621487,0.23624889812962305
S2,UNEQUAL,14,0.4662513189846812,0.465933394283187
S2,UNEQUAL,15,0.07995237141460246,0.08009301387941753
S2,UNEQUAL,16,1.0,1.0
S2,UNEQUAL,17,0.00019946902906967998,0.00019776339540180822
S2,UNEQUAL,18,0.1330580492919108,0.13284036577202815
S2,UNEQUAL,19,0.207081563596807,0.20696153444652066
S2,UNEQUAL,20,1.0,1.0
S2,UNEQUAL,21,0.22428653599715948,0.2244670451624151
S2,UNEQUAL,22,1.0,1.0
S2,UNEQUAL,23,0.004168568195089175,0.004165481931332967
S2,UNEQUAL,24,0.05339453834485836,0.053413016224080755
S2,UNEQUAL,25,1.0,1.0
S2,UNEQUAL,26,0.6036310129940476,0.6032850936011184
S2,UNEQUAL,27,0.015537767491027255,0.015599579518030428
S2,UNEQUAL,28,1.0,1.0
S2,UNEQUAL,29,0.18319953980245704,0.1831925108285771
S2,UNEQUAL,30,1.0,1.0
S2,UNEQUAL,31,0.4926428695942285,0.49235793260896543
S2,UNEQUAL,32,0.32511601019562925,0.3250280614938992
S2,UNEQUAL,33,0.7740353610345013,0.7735994409316675
S2,UNEQUAL,34,0.9022436266421998,0.9023078163422927
S2,UNEQUAL,35,0.6672710773379511,0.6671301122043845
S2,UNEQUAL,36,1.0,1.0
S2,UNEQUAL,37,0.938205482183195,0.9378726173310163
S2,UNEQUAL,38,1.0,1.0
S2,UNEQUAL,39,1.0,1.0
S2,UNEQUAL,40,0.0271372760979855,0.02714534348827899
S2,UNEQUAL,41,0.11696509912993346,0.11689345651613281
S2,UNEQUAL,42,1.0,1.0
S2,UNEQUAL,43,0.054951141381491604,0.05472822470307017
S2,UNEQUAL,44,0.497624187373883,0.497665701788414
S2,UNEQUAL,45,0.9282422329408396,0.927845751533467
S2,UNEQUAL,46,0.14457017928723684,0.1443952096576247
S2,UNEQUAL,47,0.08610254526398788,0.08600381887465959
S2,UNEQUAL,48,1.0,1.0
S2,UNEQUAL,49,0.011092103343360549,0.011212868128619767
S25,EQUAL,0,0.7551640766881251,0.755484069323822
S25,EQUAL,1,0.8839329261275528,0.8837366169365741
S25,EQUAL,2,0.7051217592606936,0.7036701350277538
S25,EQUAL,3,0.9892063488032452,0.9891750203644593
S25,EQUAL,4,0.12705950708480304,0.1270344685243721
S25,EQUAL,5,0.4566296167790799,0.45649407623338595
S25,EQUAL,6,0.7568741216483579,0.7569164230938563
S25,EQUAL,7,0.6428047128585506,0.6427797038373991
S25,EQUAL,8,0.8210683501785767,0.8201729699256151
S25,EQUAL,9,0.8836655942123122,0.8828236919859191
S25,EQUAL,10,1.0,1.0
S25,EQUAL,11,0.1348578567811081,0.13503510641479993
S25,EQUAL,12,0.8105666304033944,0.8107751228667873
S25,EQUAL,13,1.0,1.0
S25,EQUAL,14,0.65236217373957,0.6524163699772956
S25,EQUAL,15,0.1125593349424741,0.11256119570009034
S25,EQUAL,16,1.0,1.0
S25,EQUAL,17,0.8267908764140667,0.8269312476196526
S25,EQUAL,18,0.3340466502405895,0.3348503519527529
S25,EQUAL,19,0.2784239318264385,0.2785385471302687
S25,EQUAL,20,0.034119277622283,0.034209376718521756
S25,EQUAL,21,1.0,1.0
S25,EQUAL,22,1.0,1.0
