nsites,nclusts,sg,ss,se,variable,value
,,,,,GCTA,0.67508
,,,,,GCTA,0.678678
,,,,,GCTA,0.651016
,,,,,GCTA,0.665454
,,,,,GCTA,0.66702
,,,,,GCTA,0.6551170000000001
,,,,,GCTA,0.665572
,,,,,GCTA,0.681013
2.0,1.0,0.5,0.25,0.25,GCTA,0.666966
2.0,1.0,0.5,0.25,0.25,GCTA,0.671191
2.0,1.0,0.5,0.25,0.25,GCTA,0.669555
2.0,1.0,0.5,0.25,0.25,GCTA,0.672766
2.0,1.0,0.5,0.25,0.25,GCTA,0.650636
2.0,1.0,0.5,0.25,0.25,GCTA,0.683281
2.0,1.0,0.5,0.25,0.25,GCTA,0.656489
2.0,1.0,0.5,0.25,0.25,GCTA,0.661198
2.0,1.0,0.5,0.25,0.25,GCTA,0.654157
2.0,1.0,0.5,0.25,0.25,GCTA,0.65136
,,,,,GCTA,0.693168
,,,,,GCTA,0.698763
,,,,,GCTA,0.728701
,,,,,GCTA,0.71529
,,,,,GCTA,0.732273
,,,,,GCTA,0.704809
,,,,,GCTA,0.684218
,,,,,GCTA,0.747517
,,,,,GCTA,0.663864
,,,,,GCTA,0.7085819999999999
,,,,,GCTA,0.716356
,,,,,GCTA,0.683797
,,,,,GCTA,0.703543
,,,,,GCTA,0.692476
,,,,,GCTA,0.722931
,,,,,GCTA,0.680082
,,,,,GCTA,0.680806
,,,,,GCTA,0.6890890000000001
,,,,,GCTA,0.7261529999999999
,,,,,GCTA,0.685401
25.0,1.0,0.5,0.25,0.25,GCTA,0.704731
25.0,1.0,0.5,0.25,0.25,GCTA,0.6987399999999999
25.0,1.0,0.5,0.25,0.25,GCTA,0.7017180000000001
25.0,1.0,0.5,0.25,0.25,GCTA,0.6806479999999999
25.0,1.0,0.5,0.25,0.25,GCTA,0.6531779999999999
25.0,1.0,0.5,0.25,0.25,GCTA,0.7083010000000001
25.0,1.0,0.5,0.25,0.25,GCTA,0.7002689999999999
25.0,1.0,0.5,0.25,0.25,GCTA,0.705399
25.0,1.0,0.5,0.25,0.25,GCTA,0.68685
25.0,1.0,0.5,0.25,0.25,GCTA,0.6824720000000001
,,,,,GCTA,0.6446850000000001
,,,,,GCTA,0.660566
,,,,,GCTA,0.6632239999999999
,,,,,GCTA,0.658449
,,,,,GCTA,0.659523
,,,,,GCTA,0.670108
,,,,,GCTA,0.670754
,,,,,GCTA,0.6603720000000001
,,,,,GCTA,0.65814
,,,,,GCTA,0.6559119999999999
,,,,,GCTA,0.6630229999999999
,,,,,GCTA,0.6569119999999999
,,,,,GCTA,0.665226
,,,,,GCTA,0.664661
,,,,,GCTA,0.6570189999999999
,,,,,GCTA,0.6703899999999999
,,,,,GCTA,0.655658
,,,,,GCTA,0.656746
,,,,,GCTA,0.662778
,,,,,GCTA,0.66925
25.0,2.0,0.5,0.25,0.25,GCTA,0.692218
25.0,2.0,0.5,0.25,0.25,GCTA,0.6757310000000001
25.0,2.0,0.5,0.25,0.25,GCTA,0.698739
