h2,SE,Pheno,PCs,Covariates,Time for analysis(s),Memory Usage
0.5520551523064648,0.008490486953608706,abcd600_1,5,,7.318163745003403,2143.708
0.5184741033062387,0.008509342125277505,abcd600_1,10,,7.29315359199245,2143.708
0.6415676488593569,0.008273011142352744,abcd600_2,0,,7.151897075993475,2143.708
0.5608274436139518,0.008490486953608706,abcd600_2,5,,7.256935887009604,2143.708
0.4753125131202985,0.008509342125277505,abcd600_2,10,,7.321507403990836,2143.708
0.6415297182282949,0.008273011142352744,abcd600_3,0,,7.227422080002725,2143.708
0.5361639376883737,0.008490486953608706,abcd600_3,5,,7.321340814989526,2143.708
0.5178958451548578,0.008509342125277505,abcd600_3,10,,7.270674461993622,2143.708
NA,0.008273011142352744,synth000_1,0,,7.171159902994987,2143.708
NA,0.008490486953608706,synth000_1,5,,7.362609942007111,2143.708
NA,0.008509342125277505,synth000_1,10,,7.30746057399665,2143.708
NA,0.008273011142352744,synth000_2,0,,7.223094860004494,2143.708
NA,0.008490486953608706,synth000_2,5,,7.361957827000879,2143.708
NA,0.008509342125277505,synth000_2,10,,7.338095776998671,2143.708
NA,0.008273011142352744,synth000_3,0,,7.245763717000955,2143.708
NA,0.008490486953608706,synth000_3,5,,7.376591744003235,2143.708
NA,0.008509342125277505,synth000_3,10,,7.3769462869968265,2143.708
-0.0037877491763801978,0.008273011142352744,synth003_1,0,,7.199960262994864,2143.708
-0.002937949725718296,0.008490486953608706,synth003_1,5,,7.261654160000035,2143.708
-0.0033570638676016914,0.008509342125277505,synth003_1,10,,7.283978673993261,2143.708
0.004684201639693118,0.008273011142352744,synth003_2,0,,7.158984852008871,2143.708
0.0055170066658212225,0.008490486953608706,synth003_2,5,,7.252586931004771,2143.708
0.005072804160418605,0.008509342125277505,synth003_2,10,,7.298856091001653,2143.708
0.002496219016636411,0.008273011142352744,synth003_3,0,,7.164342425006907,2143.708
-0.0036631923958363186,0.008490486953608706,synth003_3,5,,7.27448584701051,2143.708
-0.009593726326324591,0.008509342125277505,synth003_3,10,,7.439621006997186,2143.708
0.008933717471686581,0.008273011142352744,synth006_1,0,,7.297754309998709,2143.708
-0.001048086530608611,0.008490486953608706,synth006_1,5,,7.345006736999494,2143.708
-0.0018089165008872857,0.008509342125277505,synth006_1,10,,7.312413335996098,2143.708
-0.002709680197175466,0.008273011142352744,synth006_2,0,,7.228044508010498,2143.708
-0.007005768609825386,0.008490486953608706,synth006_2,5,,7.272261295001954,2143.708
-0.008002429488000888,0.008509342125277505,synth006_2,10,,7.311637172999326,2143.708
0.007307371300544036,0.008273011142352744,synth006_3,0,,7.199318660001154,2143.708
-0.009287603400796299,0.008490486953608706,synth006_3,5,,7.272503319996758,2143.708
-0.010743239956085728,0.008509342125277505,synth006_3,10,,7.34778230599477,2143.708
0.13651781987256575,0.008273011142352744,synth030_1,0,,7.197221547990921,2143.708
0.048403648422814215,0.008490486953608706,synth030_1,5,,7.294347022994771,2143.708
0.04131532928904922,0.008509342125277505,synth030_1,10,,7.378182596003171,2143.708
0.13651781987256575,0.008273011142352744,synth030_2,0,,7.196355690990458,2143.708
0.048403648422814215,0.008490486953608706,synth030_2,5,,7.293187467992539,2143.708
0.04131532928904922,0.008509342125277505,synth030_2,10,,7.325190340998233,2143.708
0.13651781987256575,0.008273011142352744,synth030_3,0,,7.17765892999887,2143.708
0.048403648422814215,0.008490486953608706,synth030_3,5,,7.277319233005983,2143.708
0.04131532928904922,0.008509342125277505,synth030_3,10,,7.323447766000754,2143.708
0.036337406105838285,0.008273011142352744,synth033_1,0,,7.169045874994481,2143.708
-0.0033509759182248676,0.008490486953608706,synth033_1,5,,7.2851647839997895,2143.708
-0.006264872770253228,0.008509342125277505,synth033_1,10,,7.299937820993364,2143.708
0.07502617708019609,0.008273011142352744,synth033_2,0,,7.158559611998498,2143.708
-0.00722896454303736,0.008490486953608706,synth033_2,5,,7.245714806005708,2143.708
-0.007486454901609876,0.008509342125277505,synth033_2,10,,7.277687200999935,2143.708
0.07135550370981901,0.008273011142352744,synth033_3,0,,7.161389660002897,2143.708
0.004733031927384479,0.008490486953608706,synth033_3,5,,7.2635176129988395,2143.708
0.0019372723502230095,0.008509342125277505,synth033_3,10,,7.278773719997844,2143.708
0.2925303402755094,0.008273011142352744,synth060_1,0,,7.163317461003317,2143.708
0.03018919301110798,0.008490486953608706,synth060_1,5,,7.25324542800081,2143.708
0.02941497406766546,0.008509342125277505,synth060_1,10,,7.285185779008316,2143.708
0.2925303402755094,0.008273011142352744,synth060_2,0,,7.1590589030092815,2143.708
0.03018919301110798,0.008490486953608706,synth060_2,5,,7.252817653992679,2143.708
0.02941497406766546,0.008509342125277505,synth060_2,10,,7.283608226003707,2143.708
0.2925303402755094,0.008273011142352744,synth060_3,0,,7.155063270998653,2143.708
0.03018919301110798,0.008490486953608706,synth060_3,5,,7.256083774002036,2143.708
0.02941497406766546,0.008509342125277505,synth060_3,10,,7.284831807002774,2143.708
0.009426657157821122,0.008273011142352744,synth300_1,0,,7.158899866990396,2143.708
-0.002074247322074929,0.008490486953608706,synth300_1,5,,7.256782206997741,2143.708
-0.002779323089168427,0.008509342125277505,synth300_1,10,,7.2742358690011315,2143.708
-0.003958024854499952,0.008273011142352744,synth300_2,0,,7.167140435005422,2143.708
-0.010418564287170506,0.008490486953608706,synth300_2,5,,7.270822860009503,2143.708
-0.011919801339242475,0.008509342125277505,synth300_2,10,,7.308025895006722,2143.708
0.005048125400649193,0.008273011142352744,synth300_3,0,,7.156052591002663,2143.708
0.000535903966168892,0.008490486953608706,synth300_3,5,,7.268415896993247,2143.708
-0.0011632702458069496,0.008509342125277505,synth300_3,10,,7.294811500003561,2143.708
0.005553486170166262,0.008273011142352744,synth303_1,0,,7.171289559002616,2143.708
-0.00044438222147404413,0.008490486953608706,synth303_1,5,,7.254104457999347,2143.708
-0.001221761400558406,0.008509342125277505,synth303_1,10,,7.282963639998343,2143.708
0.005173800058374775,0.008273011142352744,synth303_2,0,,7.155099344003247,2143.708
0.006365250126836875,0.008490486953608706,synth303_2,5,,7.278187133997562,2143.708
0.002370195285192191,0.008509342125277505,synth303_2,10,,7.3015520780027146,2143.708
-0.005280710355604112,0.008273011142352744,synth303_3,0,,7.168027998006437,2143.708
-0.0040352911503306835,0.008490486953608706,synth303_3,5,,7.266001042997232,2143.708
